PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Yu-Xiao Wang; Yue Xin; Jun-Yi Yin; Xiao-Jun Huang; Jun-Qiao Wang; Jie-Lun Hu; Fang Geng; Shao-Ping Nie							Revealing the architecture and solution properties of polysaccharide fractions from Macrolepiota albuminosa (Berk.) Pegler.		Food Chemistry					Macrolepiota albuminosa (Berk.) Pegler is abundant in active polysaccharides, but little is known about their structures and solution properties. In this study, water-extracted polysaccharides from M. albuminosa (MAWP) were purified into three fractions with structural heterogeneity, which was attributed to the diversity in molecular weight, monosaccharide composition and linkage patterns, further affecting their solution properties. Methylation and NMR analysis revealed MAWP-60p and MAWP-70 were a 3-O-methylated glucomannogalactan and a previously unreported glucomannogalactan, whereas MAWP-80 was elucidated as a branched galactoglucan. Besides, three fractions exhibited random coil conformation in aqueous solution, while MAWP-60p had the highest viscosity due to its highest molecular weight, mean square radius of gyration (Rg) and O-methyl group attached to the backbone. The molecular weight, monosaccharide composition and glycosidic linkages might be the major contributors to the flexibility, molecular size and stereochemistry of mushroom polysaccharide chains. All rights reserved, Elsevier.										2022	368				0308-8146				10.1016/j.foodchem.2021.130772					FSTA:2022-02-Jq1296
J		Yu-Xiao Wang; Yue Xin; Xiao-Jun Huang; Jun-Yi Yin; Shao-Ping Nie							A branched galactoglucan with flexible chains from the basidioma of Macrolepiota albuminosa (Berk.) Pegler.		Food Chemistry					A homogeneous galactoglucan was purified from the alkali-extracted polysaccharides from the basidioma of Macrolepiota albuminosa by gradient ethanol precipitation, whose proposed structure was given for the first time. Results. Showed it had a molecular weight of 210 kDa, and mainly consisted of glucose and galactose. There were abundant filaments, randomly distributed sheet-like and flaky appearance in its surface by SEM observation. Its backbone comprised beta-(1 6)-Glc p, alpha-(1 6)-Gal p and beta-(1 3,6)-Glc p residues at 4:1:1, terminated by beta-(1 3)-Glc p and T-Glc p residues. Rheological measurements suggested its steady flow behavior was highly dependent on concentrations. Newtonian behavior was evident at low concentrations, whereas pseudoplastic behavior was observed at high concentrations. Besides, the X-ray diffraction patterns proved the presence of amorphous structure. The conformational parameters were detected by HPSEC-MALLS-RI, revealing a random coil conformation in NaNO3 aqueous solution. This work provides a theoretical basis for the application of polysaccharides from M. albuminosa in food-and drug-based therapies. All rights reserved, Elsevier.										2022	367				0308-8146				10.1016/j.foodchem.2021.130738					FSTA:2022-01-Aj0385
J		Yu-Xiao Wang; Ting Zhang; Jun-Yi Yin; Xiao-Jun Huang; Jun-Qiao Wang; Jie-Lun Hu; Shao-Ping Nie							Structural characterization and rheological properties of an alkali-extracted beta-glucan from Hypsizygus marmoreus.		Food Hydrocolloids					A homogeneous beta-glucan (JHMP-70) was obtained from Hypsizygus marmoreus by alkali extraction and ethanol precipitation, and had an apparent molecular weight of 394 kDa. Its fine structure was investigated by FT-IR, methylation combined with GC-MS and 1D and 2D NMR analysis. Results indicated JHMP-70 was a branched beta-(1 6)-glucan substituted at O-3 by the non-reducing beta-Glcp and/or beta-(1 3)-linked beta-Glcp side chains at a ratio of 1:1. SEM observation revealed that there were micro-spherical shapes intertwined with randomly distributed fibrous filaments. Rheological measurements showed that its flow behavior was highly dependent on the concentration. Newtonian behavior was evident at low concentration, whereas pseudoplastic behavior was observed at high concentration. Besides, the addition of salt ions (Na + or Ca2+) significantly decreased the apparent viscosity of JHMP-70 solution. The low viscosity of JHMP-70 was probably attributed to its structural features, including main chain structure, branching degree and side chain length. This work can provide a basis theory to expand the application of the polysaccharides from H. marmoreus in food industry, because their lower viscosity and superior fluidity are desired in beverage products to impart stability against phase separation without compromising other sensorial properties. All rights reserved, Elsevier.										2022	126				0268-005X				10.1016/j.foodhyd.2021.107475					FSTA:2022-05-Jq6208
J		Yu-Xin Gu; Tian-Ci Yan; Zi-Xuan Yue; Min-Hui Li; Hui Zheng; Shu-Ling Wang; Jun Cao							Dispersive micro-solid-phase extraction of acaricides from fruit juice and functional food using cucurbituril as sorbent.		Food Analytical Methods					A novel dispersive micro-solid-phase extraction (DMSPE) method is established for the determination of seven acaricides (clofentezine, benzomate, fenpyroximate, diafenthiuron, pyridaben, doramectin, and ivermectin) in fruit juice and functional food by ultra-high-performance liquid chromatography. In this method, these analytes were extracted from apple juice and Curcuma wenyujin using cucurbituril used as the adsorbent, water as the extraction solvent, and methanol as the elution solvent. The primary parameters affecting the extraction efficiency were optimized by experiments for concentration of adsorbent, oscillation time, desorption solvent, and pH value and by response surface methodology. Under the optimal conditions, all target analytes had a good linear relationship, with correlation coefficients ranging from 0.9900 to 0.9940, the limits of detection were 0.42-5.16 ng/mL, the limits of quantification were 1.39-17.18 ng/mL, and the spiked recoveries of seven target compounds in real samples ranged from 70.04 to 94.95%. The intra-day precision RSD variations ranged from 0.13 to 0.70%, and the inter-day precision RSDs were between 0.38 and 1.4%, which had good reproducibility and repeatability. In general, DMSPE is a convenient, efficient, and environmentally friendly method for sample preparation, which has the potential for microextraction. ©The Author(s), under exclusive licence to Springer Science + Business Media, LLC, part of Springer Nature 2021.										2022	15	5	1356	1367	1936-976X				10.1007/s12161-021-02209-8					FSTA:2023-01-Hq0611
J		Yu-Xue Xu; Ze-Dong Jiang; Xi-Ping Du; Ming-Jing Zheng; Yuan Fan-Yang; Hui Ni; Feng Chen							The identification of biotransformation pathways for removing fishy malodor from Bangia fusco-purpurea using fermentation with Saccharomyces cerevisiae.		Food Chemistry					The yeast Saccharomyces cerevisiae is effective in reducing the fishy malodor of sea products. However, the biotransformation pathways are still unclear. The seaweed B. Fusco-purpurea was taken as an example to investigate the chemical transformation pathways for the deodorization process with S. cerevisiae fermentation. Sensory evaluation, GC-MS, GC-MS-O and odor activity value (OAV) analyses showed the fishy odorants were 1-octen-3-ol, (E)-2-nonenal, 2,4-decadienal, 2-pentylfuran, 2-octen-1-ol and nonanal. The removal of fishy malodor was related to the reactions of reduction, dehydrogenation, deformylation-oxygenation and ester syntheses via catalysis of aldehyde dehydrogenase, alcohol dehydrogenases, epoxide hydrolase, aldehyde deformylating-oxygenase, enone reductase, oxidases, dehydrogenases, aldo-keto reductases, ester synthase and acyltransferase. Interestingly, for the first time, it was found that 3,5-octadien-2-one transformed to 6-octen-2-one; and 2-pentylfuran transformed to o-cymene and hexyl acetate. Our findings enrich the knowledge for the removal of fishy malodor from sea products such as seaweeds. All rights reserved, Elsevier.										2022	380				0308-8146				10.1016/j.foodchem.2022.132103					FSTA:2022-06-Rg2107
J		Yu-Yan Zhu; Xiang-Chun Meng; Ying-Jun Zhou; Jian-Xiang Zhu; Ya-Ning Chang							Major royal jelly proteins alleviate non-alcoholic fatty liver disease in mice model by regulating disordered metabolic pathways.		Journal of Food Biochemistry					Nonalcoholic fatty liver disease (NAFLD), the major cause of global chronic hepatic injury, has obtained increasing attention while the current drug treatment still laid safety hazards. Major royal jelly proteins (MRJPs), the water-soluble proteins enriched in royal jelly (RJ), were applied to study its effects on improving NAFLD in the NAFLD mouse model. Herein, we demonstrated that intaking of 250-500mg/kg/day MRJPs significantly decreased the rate of obesity, dyslipidemia, hepatic steatosis, and insulin resistance. Next, TOF to MRM ("TM") widely targeted metabolomics (untargeted metabolomics + widely targeted metabolomics) was further used to explore the potential mechanism, and we found that 500mg/kg MRJPs alleviated lipid metabolism, oxidative stress, and inflammation mainly by regulating the metabolisms of alpha-linolenic acid, linoleic acid, arachidonic acid, and biosynthesis of unsaturated fatty acids. Moreover, by detecting multiple oxidative stress factors and inflammatory cytokines, we found that MRJPs indeed exerted antioxidant and anti-inflammatory effects. Together, we demonstrated that MRJPs could mediate the progress of NAFLD through the "multi-component-multi-target-multi-pathway" mechanism, which could be considered as an ideal functional food in alleviating NAFLD. Practical applications. Royal jelly (RJ) is a bee product with high nutritional value. Major royal jelly proteins (MRJPs) are water-soluble proteins in RJ. Our research showed that MRJPs significantly ameliorated NAFLD induced by a high-fat diet in mice, suggesting that MRJPs could be used as an active ingredient to help improve NAFLD, which was beneficial for the development of related functional foods and the economic value of RJ. Moreover, the metabolic pathways involved in the ameliorative effect of MRJPs were investigated, which provided new ideas for the prevention and treatment of NAFLD. © 2022 Wiley Periodicals LLC.										2022	46	9			1745-4514				10.1111/jfbc.14214					FSTA:2023-01-Lg0032
J		Yu-Ying Liu; Si-Dong Zhang; Jin-Jing Xiao; Wen-Zhe Feng; Dong Wei; Ya-Jing Deng; Hai-Qun Cao; Yan-Hong Shi							Gut microbiota-involved metabolism and intestinal absorption mechanisms in decreasing bioaccessibility of triadimefon in strawberry and grape.		Food Chemistry					Gut microbiota-involved metabolism and intestinal absorption affecting bioaccessibility of triadimefon in strawberry and grape were investigated for the first time by coupling the in vitro digestion model with the Caco-2 cell model. Results showed that the gut microbiota decreased the bioaccessibility of triadimefon in strawberry by 31.00% but failed in grape, probably due to a negative modulation of the colon bacterial activity by dietary components in grapes. A strain of triadimefon-degrading bacteria, Stenotrophomonas maltophilia, was isolated from the gut microbiota and its degradation products were profiled. This study also clarified a significant reduction in transepithelial transport (up to 32.81%) of triadimefon as a result of the barrier effect of gut microbiota. These findings provide new insights on the function of the gut microbiota in pesticide bioaccessibility and highlight the importance of including gut microbiota in pesticide residue risk assessments. All rights reserved, Elsevier.										2022	373	Part B			0308-8146				10.1016/j.foodchem.2021.131575					FSTA:2022-04-Jb4130
J		Yu-Yuan Hu; Chuan-Guo Ma; Tan-Ling Zhou; Ge Bai; Shu-Jing Guo; Xiao-Wei Chen							Enzymatic synthesis of hydrophilic phytosterol polyol esters and assessment of their bioaccessibility and uptake using an in vitro digestion/Caco-2 cell model.		Food Chemistry					A novel enzyme-catalyzed method was developed for the synthesis of phytosterol polyol esters from beta-sitosterol and polyols (sorbitol, mannitol and xylitol) by two-step transesterification using divinyl adipate (DVA) as a link. A high conversion (exceeding 94%) of beta-sitosterol with a vinyl group was achieved, in the presence of Candida rugosa lipase (CRL), at low temperature (35 °C) within 30 min. Subsequently, the maximum conversion of phytosterol polyol esters (>94%) was obtained using alkaline protease from Bacillus subtilis at 65 °C. Phytosterol polyol esters had enhanced thermal stability (up to an above 355 °C) and excellent water solubility (4.6-7.9 mM at 35 °C). Moreover, obvious increases in the bioaccessibility (41.5-63.6%) and intestinal uptake (5.2-6.5%) were observed using a simulated gastrointestinal digestion/Caco-2 cell model. These results highlighted the key role of hydrophilic structural modifications on physicochemical properties and absorption of phytosterols. All rights reserved, Elsevier.										2022	370				0308-8146				10.1016/j.foodchem.2021.131324					FSTA:2022-03-Aj3726
J		Yu-Zhu Zhu; Kai Chen; Yu-Lin Chen; Changjun Zhang; Yuan-Yuan Xie; Hider, R. C.; Tao Zhou							Design and synthesis of novel stilbene-hydroxypyridinone hybrids as tyrosinase inhibitors and their application in the anti-browning of freshly-cut apples.		Food Chemistry					In order to develop the tyrosinase inhibitors with potential application in food industry, a series of stilbene-hydroxypyridinone hybrids were prepared. Among these compounds, 1h was found to possess the most potent tyrosinase inhibitory effect on both monophenolase and diphenolase activities, with IC50 values of 2.72muM and 15.86muM, respectively. The inhibitory effect of 1h on monophenolase activity was 4.6 times that of kojic acid. An inhibition kinetic assay indicated that 1h was a mixed-type and reversible inhibitor. The copper-binding and reducing ability assays, molecular docking study, intrinsic and ANS-binding fluorescence assays indicated that copper coordination and reduction is likely to be the causative mechanism for 1h-induced inhibition on tyrosinase. The results of color measurement and browning index determination indicated that treatment with 1h retarded effectively the browning of freshly-cut apples during their storage. Meanwhile, PPO and POD activities in apple slices were found to be effectively inhibited. All rights reserved, Elsevier.										2022	385				0308-8146				10.1016/j.foodchem.2022.132730					FSTA:2022-08-Je10770
J		Yuan; Congcong Cui; Hui Liu; Xuenan Li; Yue Cao; Yan Zhang; Haiyang Yan							Effects of oxidation and hydrolysis of frying oil on MCPD esters formation in Chinese fried dough sticks.		LWT -- Food Science and Technology					In this study, we investigated the influence of various factors on the formation of 2-monochloro-1,3-propanediol and 3-monochloro-1,2-propanediol (MCPD) esters in Chinese fried dough sticks. The results showed types of oil significantly affected the content of MCPD esters in fried dough sticks, with palm oil responsible for the highest. As well, temperature and time affected the content of MCPD esters (P< 0.05). Treatment at 200 °C for 4 min resulted in 1.87 mg/kg 3-MCPD esters and 0.68 mg/kg 2-MCPD esters, respectively. The dough containing 1 g/100 g NaCl was fried at 180 °C for 4 min, resulting in elevated levels of MCPD esters. MCPD esters in fried dough sticks constantly varied during the 8-h cycle in 3 consecutive days and the 12-h frying cycle. Pearson correlation test showed 3-MCPD esters had a positive correlation with 2-MCPD esters (R = 0.920), which allowed 3-MCPD esters to be a representative index of MCPD esters. A good correlation between the acid value (AV), p-anisidine value (p-AnV), color (DeltaEpsilon) of frying oil and MCPD esters in fried dough sticks was also found. The changes of MCPD esters of fried dough sticks were assumed to be caused by oxidation and hydrolysis of oil during frying. All rights reserved, Elsevier.										2022	154				0023-6438				10.1016/j.lwt.2021.112576					FSTA:2022-04-Mq2149
