PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Ce Wang; Lu Chen; Yingcong Lu; Jia Liu; Ru Zhao; Yonghai Sun; Boyang Sun; Wang Cuina							pH-Dependent complexation between beta-lactoglobulin and lycopene: multi-spectroscopy, molecular docking and dynamic simulation study.		Food Chemistry					This study aims to investigate the effect of pH levels (pH 7.0 and pH 8.1) on binding ability of beta-lactoglobulin (beta-LG) with lycopene (LYC) and elucidate interaction mechanisms using multi-spectroscopy and molecular docking study. beta-LG at pH 8.1 showed a stronger binding affinity to lycopene than that at pH 7.0 according to binding constant, binding number, energy transfer efficiency, and surface hydrophobicity. Lycopene bound to protein mainly by van der Waals force in the form of static quenching mode and preferred to interact with beta-LG at the top of barrel for both pH levels. Molecular dynamic simulation revealed that beta-LG/LYC complex at pH 8.1 was more stable than at pH 7.0. beta-LG/LYC complexes formed at pH 8.1 showed significantly higher ABTS radical scavenging activity than samples at pH 7.0 (p < 0.05). Data obtained may contribute valuable information for preparing a whey protein-based delivery system for lycopene. All rights reserved, Elsevier.										2021	362				0308-8146				10.1016/j.foodchem.2021.130230					FSTA:2021-11-Ac15328
J		Cebi, N.; Arici, M.; Sagdic, O.							The famous Turkish rose essential oil: characterization and authenticity monitoring by FTIR, Raman and GC-MS techniques combined with chemometrics.		Food Chemistry					There is a necessity for rapid, robust, easy, accurate and cost-effective methodologies for the quality control of essential oils from medicinal and aromatic plants. Rosa damascena essential oil is a high-value natural product with its unique quality properties and economic importance. This research evaluated the capability of Fourier transform infrared spectroscopy (FTIR), Raman spectroscopy and gas chromatography-mass spectrometry (GC-MS) techniques combined with chemometrics for determination of the authenticity of R. damascena essential oil. Hierarchical cluster analysis (HCA) and principal component analysis (PCA) were successfully employed with 100% accuracy for discrimination of authentic R. damascena essential oil samples from fraudulent commercial samples. Consistent results were obtained by FTIR, Raman and GC-MS techniques. Two of twenty commercial samples were determined as authentic R. damascena essential oil samples using the three analytical techniques. Findings showed that FTIR and Raman spectroscopy combined with chemometrics could be used as reliable, robust, rapid, accurate and low-cost analytical techniques for quality evaluation of R. damascena essential oil. All rights reserved, Elsevier.		Sagdic, Osman/AAX-3679-2020	Sagdic, Osman/0000-0002-2063-1462							2021	354				0308-8146				10.1016/j.foodchem.2021.129495					FSTA:2021-08-Te3064
J		Cebi, N.; Taylan, O.; Abusurrah, M.; Sagdic, O.							Detection of orange essential oil, isopropyl myristate, and benzyl alcohol in lemon essential oil by FTIR spectroscopy combined with chemometrics.		Foods					Essential oils are high-valued natural extracts that are involved in industries such as food, cosmetics, and pharmaceutics. The lemon essential oil (LEO) has high economic importance in the food and beverage industry because of its health-beneficial characteristics and desired flavor properties. LEO, similar to other natural extracts, is prone to being adulterated through economic motivations. Adulteration causes unfair competition between vendors, disruptions in national economies, and crucial risks for consumers worldwide. There is a need for cost-effective, rapid, reliable, robust, and eco-friendly analytical techniques to detect adulterants in essential oils. The current research developed chemometric models for the quantification of three adulterants (orange essential oil, benzyl alcohol, and isopropyl myristate) in cold-pressed LEOs by using hierarchical cluster analysis (HCA), principal component regression (PCR), and partial least squares regression (PLSR) based on FTIR spectra. The cold-pressed LEO was successfully distinguished from adulterants by robust HCA. PLSR and PCR showed high accuracy with high R2 values (0.99-1) and low standard error of cross-validation (SECV) values (0.58 and 5.21) for cross-validation results of the raw, first derivative, and second derivative FTIR spectra. The findings showed that FTIR spectroscopy combined with multivariate analyses has a considerable capability to detect and quantify adulterants in lemon essential oil. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.		Sagdic, Osman/AAX-3679-2020	Sagdic, Osman/0000-0002-2063-1462; Taylan, Osman/0000-0002-5806-3237							2021	10	1			2304-8158				10.3390/foods10010027					FSTA:2021-06-Te2124
J		Cebi, N.							Quantification of the geranium essential oil, palmarosa essential oil and phenylethyl alcohol in Rosa damascena essential oil using ATR-FTIR spectroscopy combined with chemometrics.		Foods					Rosa damascena essential oil is an essential oil that has the greatest industrial importance due to its unique quality properties. The study used ATR-FTIR (attenuated total reflectance-Fourier transform infrared) spectroscopy coupled with chemometrics of PLSR (partial least squares regression) and PCR (principal component regression) for quantification of probable adulterants of geranium essential oil (GEO), palmarosa essential oil (PEO) and phenyl ethyl alcohol (PEOH). Hierarchical cluster analysis was performed to observe the classification pattern of Rosa damascena essential oil, spiked samples and adulterants. Rosa damascena essential oil was spiked with each adulterant at concentrations of 0-100% (v/ v). Excellent R2 (regression coefficient) values (≥0.96) were obtained in all PLSR and PCR cross-validation models. The SECV (standard error of cross-validation) values ranged between 0.43 and 4.15. The lowest SECV and bias values were observed in the PLSR and PCR models, which were built by using the raw FTIR spectra of all samples. Hierarchical cluster analysis through Ward's algorithm and Euclidian distance had high potential to observe the classification pattern of all adulterated and authentic samples. In conclusion, the combination of ATR-FTIR spectroscopy with multivariate analysis can be used for rapid, cost-effective, easy, reliable and high-throughput detection of GEO, PEO and PEOH in Rosa damascena essential oil. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.										2021	10	8			2304-8158				10.3390/foods10081848					FSTA:2022-07-Te2452
J		Cebrian, E.; Nunez, F.; Rodriguez, M.; Grassi, S.; Gonzalez-Mohino, A.							Potential of near infrared spectroscopy as a rapid method to discriminate OTA and non-OTA-producing mould species in a dry-cured ham model system.		Toxins					The ripening process of dry-cured meat products is characterised by the development of fungi on the product's surface. This population plays a beneficial role, but, uncontrolled moulds represent a health risk, since some of them may produce mycotoxins, such as ochratoxin A (OTA). The aim of the present work is to assess the potential of near-infrared spectroscopy (NIRS) for the detection of OTA-producing mould species on dry-cured ham-based agar. The collected spectra were used to develop Support Vector Machines-Discriminant Analysis (SVM-DA) models by a hierarchical approach. Firstly, an SVM-DA model was tested to discriminate OTA and non-OTA producers; then, two models were tested to discriminate species among the OTA producers and the non-OTA producers. OTA and non-OTA-producing moulds were discriminated with 85% sensitivity and 86% specificity in the prediction. Furthermore, the SVM-DA model could differentiate non-OTA-producing species with a 95% sensitivity and specificity. Promising results were obtained for the prediction of the four OTA-producing species tested, with a 69% and 90% sensitivity and specificity, respectively. The preliminary approach demonstrated the high potential of NIR spectroscopy, coupled with Chemometrics, to be used as a real-time automated routine monitorization of dry-cured ham surfaces. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.		Nunez, Felix/E-4553-2015; Jimenez, Alberto Gonzalez-Mohino/X-6965-2018	Nunez, Felix/0000-0002-2718-6162; Jimenez, Alberto Gonzalez-Mohino/0000-0001-9273-9723; Rodriguez, Mar/0000-0002-4069-9739; GRASSI, SILVIA/0000-0002-2102-9713; Cebrian-Cabezon, Eva/0000-0002-5290-5325							2021	13	9			2072-6651				10.3390/toxins13090620					FSTA:2022-08-Sj4483
J		Cebrian-Tarancon, C.; Oliva, J.; Camara, M. A.; Alonso, G. L.; Salinas, M. R.							Analysis of intact glycosidic aroma precursors in grapes by high-performance liquid chromatography with a diode array detector.		Foods					Nowadays, the techniques for the analysis of glycosidic precursors in grapes involve changes in the glycoside structure or it is necessary the use of very expensive analytical techniques. In this study, we describe for the first time an approach to analyse intact glycosidic aroma precursors in grapes by high-performance liquid chromatography with a diode array detector (HPLC-DAD), a simple and cheap analytical technique that could be used in wineries. Briefly, the skin of Muscat of Alexandria grapes was extracted using a microwave and purified using solid-phase extraction combining Oasis MCX and LiChrolut EN cartridges. In total, 20 compounds were selected by HPLC-DAD at 195 nm and taking as a reference the spectrum of phenyl beta-D-glucopyranoside, whose DAD spectrum showed a first shoulder from 190 to 230 nm and a second around 200-360 nm. After that, these glycosidic compounds were identified by High-performance liquid chromatography-quadrupole time-of-flight mass spectrometry (HPLC-qTOF-MS). Disaccharides hexose pentose were the most abundant group observed with respect to the sugars and monoterpendiols the main aglycones found. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.			Alonso, Gonzalo L./0000-0002-9980-5073; Salinas, M Rosario/0000-0003-0718-6410; Cebrian Tarancon, Cristina/0000-0002-0604-7024							2021	10	1			2304-8158				10.3390/foods10010191					FSTA:2021-06-Hj5890
J		Cebrian-Tarancon, C.; Fernandez-Roldan, F.; Sanchez-Gomez, R.; Salinas, R.; Llorens, S.							Vine-shoots as enological additives. A study of acute toxicity and cytotoxicity.		Foods					Toasted vine-shoots have been recently proposed as enological additives that can be used to improve the sensorial profile of wines. However, the possible toxicity of this new winery practice has not been studied so far. The aim of this study was to evaluate the toxicity of Tempranillo, Cencibel, and Cabernet Sauvignon toasted vine-shoots when used in winemaking. First, vine-shoots were characterized in terms of minerals and phenolic and furan compounds, and then their acute toxicity and cytotoxicity were studied using Microtox and the metabolic reduction of 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assays. High EC50 values were obtained when the Microtox assay was applied to vine-shoot aqueous extracts, similar to the case of herbal infusions. When the MTT assay was used, a cell viability above 70% was observed in all the wines made with those vine-shoots, and an even greater viability was observed in the case of Cabernet Sauvignon. Therefore, it was concluded that those vine-shoots have no cytotoxic potential. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.			Sanchez-Gomez, Rosario/0000-0002-3458-1064; Cebrian Tarancon, Cristina/0000-0002-0604-7024; Llorens, Silvia/0000-0002-2104-5414; Salinas, M Rosario/0000-0003-0718-6410							2021	10	6			2304-8158				10.3390/foods10061267					FSTA:2022-02-Hj0876
J		Cecarini, V.; Cuccioloni, M.; Yadong Zheng; Bonfili, L.; Gong, C.; Angeletti, M.; Mena, P.; Rio, D. D.; Eleuteri, A. M.							Flavan-3-ol microbial metabolites modulate proteolysis in neuronal cells reducing amyloid-beta (1-42) levels.		Molecular Nutrition and Food Research					Introduction. Alzheimer's disease (AD) is a progressive neurodegeneration characterized by extensive protein aggregation and deposition in the brain, associated with defective proteasomal and autophagic-lysosomal proteolytic pathways. Since current drugs can only reduce specific symptoms, the identification of novel treatments is a major concern in AD research. Among natural compounds, (poly) phenols and their derivatives/metabolites are emerging as candidates in AD prevention due to their multiple beneficial effects. This study aims to investigate the ability of a selection of phenyl-gamma-valerolactones, gut microbiota-derived metabolites of flavan-3-ols, to modulate the functionality of cellular proteolytic pathways. Methods and Results. Neuronal SH-SY5Y cells transfected with either the wild-type or the 717 valine-to-glycine amyloid precursor protein mutated gene are used as an AD model and treated with 5-(4′-hydroxyphenyl)-gamma-valerolactone, 5-(3′, 4′-dihydroxyphenyl)-gamma-valerolactone and 5-(3′-hydroxyphenyl)-gamma-valerolactone-4′-sulfate. Combining in vitro and in silico studies, it is observed that the phenyl-gamma-valerolactones of interest modulated cellular proteolysis via proteasome inhibition and consequent autophagy upregulation and inhibited cathepsin B activity, eventually reducing the amount of intra-and extracellular amyloid-beta (1-42) peptides. Conclusion. The findings of this study establish, for the first time, that these metabolites exert a neuroprotective activity by regulating intracellular proteolysis and confirm the role of autophagy and cathepsin B as possible targets of AD preventive/therapeutic strategies. © 2021 The Authors. Molecular Nutrition & Food Research published by Wiley-VCH GmbH.		Del Rio, Daniele/E-8696-2010; Mena, Pedro/P-6353-2019; Angeletti, Mauro/C-2960-2014	Del Rio, Daniele/0000-0001-5394-1259; Mena, Pedro/0000-0003-2150-2977; Cuccioloni, Massimiliano/0000-0002-6025-1990; Angeletti, Mauro/0000-0001-6719-5517; Bonfili, Laura/0000-0002-9542-4310; Cecarini, Valentina/0000-0001-9315-9747; Eleuteri, Anna Maria/0000-0003-0461-1346							2021	65	18			1613-4133				10.1002/mnfr.202100380					FSTA:2022-01-Aj1040
J		Ceccanti, C.; Rocchetti, G.; Lucini, L.; Giuberti, G.; Landi, M.; Biagiotti, S.; Guidi, L.							Comparative phytochemical profile of the elephant garlic (Allium ampeloprasum var. holmense) and the common garlic (Allium sativum) from the Val di Chiana area (Tuscany, Italy) before and after in vitro gastrointestinal digestion.		Food Chemistry					This study is aimed to comparatively investigate the phytochemical profiles, focusing on the nutritional and phytochemical properties of common garlic (Allium sativum L.; CG) and elephant garlic (EG) (Allium ampeloprasum var. holmense) collected from the Val di Chiana area (Tuscany, Italy). The results showed a lower amount of fibers, demonstrating a higher digestibility of the bulb, and sulfur-containing compounds in EG rather than in CG. Untargeted metabolomic profiling followed by supervised and unsupervised statistics allowed understanding the differences in phytochemical composition among the two bulbs, both as raw bulbs, processed following the in vitro gastrointestinal digestion process. Typical sulfur-containing compounds, such as alliin and N-gamma-glutamyl-S-allyl cysteine, could notably be detected in lower amounts in EG. EG maintains a distinct phytochemical signature during in vitro gastrointestinal digestion. Our findings support the distinct sensorial attributes of the bulbs. All rights reserved, Elsevier.		Lucini, Luigi/L-1503-2013; Rocchetti, Gabriele/AAV-9451-2021; CECCANTI, COSTANZA/AAA-3974-2021	Lucini, Luigi/0000-0002-5133-9464; Rocchetti, Gabriele/0000-0003-3488-4513; CECCANTI, COSTANZA/0000-0003-2553-8221; Biagiotti, Stefano/0000-0001-7271-9266; Giuberti, Gianluca/0000-0002-0135-1609; GUIDI, LUCIA/0000-0002-2472-720X; Landi, Marco/0000-0003-0121-0715							2021	338				0308-8146				10.1016/j.foodchem.2020.128011					FSTA:2021-02-Te0646
J		Ceccanti, C.; Pellegrini, E.; Guidi, L.							Effect of superheated steam and conventional steam roasting on nutraceutical quality of several vegetables.		LWT -- Food Science and Technology					The superheated steam technology (SHST) is a heat treatment that involves a heated saturated steam. To date, the use as cooking technology has not been evaluated in depth in terms of retention of phytochemicals. In this study, the use of SHST was compared with a conventional saturated steam (CS) oven in order to evaluate their impact on different vegetables (tomato fruits, spinach leaves and artichoke inflorescences). At biochemical level, phenolic compounds, total ascorbic acid content, some specific antioxidant compounds and, consequently, the antioxidant activity have been evaluated. Results reported a decrease of bioactivity in the tomato cooked samples (in both the heat treatments) when compared with the fresh sample. Instead, spinach leaves and artichoke inflorescences reported an increase of phytochemicals and antioxidant activity in CS or SHS samples when compared with fresh ones. Few differences in the content of bioactive compounds were observed after the use of the CS or SHS technology. Further analyses are required to verify the differences between the use of superheated or conventional steam on vegetables. All rights reserved, Elsevier.		CECCANTI, COSTANZA/AAA-3974-2021	CECCANTI, COSTANZA/0000-0003-2553-8221							2021	149				0023-6438				10.1016/j.lwt.2021.112014					FSTA:2021-11-Jh15013
