PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Zhizhou Ling; Rong Zeng; Xiangyuan Zhou; Fang Chen; Qian Fan; Dongmei Sun; Xiangdong Chen; Mei Wei; Runsong Wu; Wenhui Luo							Component analysis using UPLC-Q-Exactive Orbitrap-HRMS and quality control of Kudingcha (Ligustrum robustum (Roxb.) Blume).		Food Research International					Although Kudingcha (Ligustrum robustum (Roxb.) Blume) has been widely used as both traditional medicine and food, systematic studies on their basic active components and quality control are lacking. In this study, a rapid method of identifying the general chemical components of Ligustrum robustum (Roxb.) Blume was established for the first time using UPLC-Q-Exactive Orbitrap-HRMS, and its major basic components were specified as phenylpropanoid, monoterpene, and flavonoid glycosides. The characteristic cleavage pathways of the phenylpropanoid, monoterpene, and flavonoid glycosides were further investigated and elaborated, which could assist in identifying the structures of similar components of other Chinese herbal medicines. A breakthrough was achieved in establishing a chemical fingerprinting profile of Ligustrum robustum (Roxb.) Blume from its original growing areas in China, and chemometric measures were applied to investigate the causes for the variations in its quality stability. The results indicated significant differences in the characteristic compositions of phenylpropanoid and monoterpene glycosides between mature and young leaves of Ligustrum robustum (Roxb.) Blume; however, no significant variation was observed owing to different production areas. Graded harvesting criteria should be established, and harvest period should be specified according to the target active components while considering agricultural metrics, such as leaf shape index, leaf length, and leaf width, to ensure the consistency in quality of active components during their production. From the perspective of overall quality control, an unprecedented quantitative analysis of multi-components by single marker was set up to analyze the signature components of phenylpropanoid glycosides (acteoside, isoacteoside, ligurobustoside N, and ligupurpuroside B) to increase the analytical efficiency and reduce research costs. This study created a scientific basis for the standardized operation, elucidation of the pharmacological materials, and quality control of food and supplements production with Ligustrum robustum (Roxb.) Blume as a raw material. All rights reserved, Elsevier.										2022	162	Part A			0963-9969				10.1016/j.foodres.2022.111937					FSTA:2023-03-Aj5784
J		Zhizhou Zhang; Yongchao Zhang; Yichao Wu; Yongxiang Xu; Yuanyuan Jiang; Yunsong Zhang; Long Wang; Li Zhang							Ultrasonic-assisted aqueous two-phase extraction combined with macroporous resin enrichment of lignans from flaxseed meal and their antioxidant activities.		Journal of AOAC International					Background. Secoisolariciresinol diglucoside (SDG) is a natural antioxidant generally extracted from flaxseed, which is one of the most important oil crops in China, the by-product of the flaxseed oil, i.e., flaxseed meal still contains a lot of lignans. However, flaxseed meal is generally treated as waste, resulting in a huge waste of resources. Objective. To establish an efficient and convenient method for extraction and purification of lignans from flaxseed meal. Methods. First, we used response surface methodology (RSM) to optimize the extraction conditions of the ultrasonic-assisted (UA) aqueous two-phase system (ATPS), and we obtained the purified extracts by macroporous resin purification (MRP). Second, the antioxidant ability of the extracts was studied in vitro. Results. The best extraction conditions obtained were as follows: 9.0% (w/w) sodium hydroxide; 30.0% (w/w) isopropanol; extraction time, 39 min; liquid-to-solid ratio, 52.0 mL/g; ultrasonic wave, 560 W; and extraction temperature, 40°C. Under the optimal conditions, the purity of crude extracts (SDG-APTS-C) reached 21.5%. The desorption conditions of MRP were as follows: eluting 3 BV with ultrapure water, and then eluting with 25% ethanol at 2 BV (bed volume)/h to collect eluents. The purified extracts (SDG-ATPS-P) had a purity quotient of 73.9%, which was 52.4% higher than that of SDG-ATPS-C. Additionally, experiments conducted revealed that SDG-ATPS-C and SDG-ATPS-P could effectively remove DPPH (2,2-Diphenyl-1-picrylhydrazyl), ABTS (2′-Azinobis-3-ethylbenzthiazoline-6-sulphonate), and hydroxyl free radicals in vitro. Conclusions. The method was validated for extracting SDG from flaxseed meal, thus achieving the reuse of flaxseed meal. Highlights. This research provides some references for the application of UAATPS combined with MRP in natural products. © The Author(s) 2021. Published by Oxford University Press on behalf of AOAC INTERNATIONAL. All rights reserved.										2022	105	4	1183	1192	1060-3271				10.1093/jaoacint/qsab124					FSTA:2023-03-Js3539
J		Zhong, L.; Blekkenhorst, L. C.; Bondonno, N. P.; Sim, M.; Woodman, R. J.; Croft, K. D.; Lewis, J. R.; Hodgson, J. M.; Bondonno, C. P.							A food composition database for assessing nitrate intake from plant-based foods.		Food Chemistry					An up-to-date nitrate food composition database of plant-based foods is lacking. Such a resource is imperative to obtain a robust assessment of dietary nitrate intakes and facilitate more empirical evaluation of health implications. We updated and expanded our 2017 vegetable nitrate database by including data published between 2016 and 2021, and data on fruits, cereals, herbs, spices, pulses and nuts (1980-2021). Of the collated nitrate contents for 264 plant-based foods from 64 countries, 120 were obtained from three or more references. Despite substantial variations, leaf vegetables were the top nitrate-containing foods, followed by stem & shoot vegetables, herbs and spices, root vegetables, flower vegetables, tuber vegetables, nuts, fruit vegetables, legume/seed vegetables, fruits and cereals. Banana and strawberry contained far higher amounts of nitrate than previously recognised. In conjunction with the recent animal-based food nitrate & nitrite database, this database can now be used to evaluate dietary nitrate intake in clinical and epidemiological studies. All rights reserved, Elsevier.		lewis, josh/GZG-7164-2022; Zhong, Liezhou/GVS-0592-2022	Sim, Marc/0000-0001-5166-0605; ZHONG, LIEZHOU/0000-0002-6847-4240; Croft, Kevin/0000-0003-1596-4913							2022	394				0308-8146				10.1016/j.foodchem.2022.133411					FSTA:2022-11-Ja14906
J		Zhong, L.; Liu, A. H.; Blekkenhorst, L. C.; Bondonno, N. P.; Sim, M.; Woodman, R. J.; Croft, K. D.; Lewis, J. R.; Hodgson, J. M.; Bondonno, C. P.							Development of a food composition database for assessing nitrate and nitrite intake from animal-based foods.		Molecular Nutrition and Food Research					Scope. Nitrate and nitrite are approved food additives in some animal-based food products. However, nitrate and nitrite in foods are strictly regulated due to health concerns over methaemoglobinaemia and the potential formation of carcinogenic nitrosamines. In contrast, plants (like leafy vegetables) naturally accumulate nitrate ions; a growing body of research reveals beneficial metabolic effects of nitrate via its endogenous conversion to nitric oxide. To refine the association of dietary nitrate and nitrite intake with health outcomes, reliable measures of nitrate and nitrite intake from dietary food records are required. While a vegetable nitrate content database has been developed, there is a need for a comprehensive up-to-date nitrate and nitrite content database of animal-based foods. Methods and Results. A systematic literature search (1980-September 2020) on the nitrate and nitrite content of animal-based foods is carried out. Nitrate and nitrite concentration data and other relevant information are extracted and compiled into a database. The database contains 1921 entries for nitrate and 2077 for nitrite, extracted from 193 publications. The highest median nitrate content is observed in chorizo (median [IQR]; 101.61 [60.05-105.93] mg kg-1). Canned fish products have the highest median nitrite level (median [IQR]; 20.32 [6.16-30.16] mg kg-1). By subgroup, the median nitrate value in industrial processed meat products (e.g., uncured burger, patties and sausages), whole milk powder and in particular red meat are higher than cured meat products. Processed meat products from high-income regions have lower median nitrate and nitrite content than those of middle-income regions. Conclusion. This database can now be used to investigate the associations between nitrate and nitrite dietary intake and health outcomes in clinical trials and observational studies. © 2021 The Authors. Molecular Nutrition & Food Research published by Wiley-VCH GmbH.		lewis, josh/GZG-7164-2022; Zhong, Liezhou/GVS-0592-2022	Croft, Kevin/0000-0003-1596-4913; ZHONG, LIEZHOU/0000-0002-6847-4240; LIU, Haoci 'Alex'/0000-0002-2506-1032; Sim, Marc/0000-0001-5166-0605							2022	66	1			1613-4133				10.1002/mnfr.202100272					FSTA:2022-04-Sa2081
J		Zhong Wu; Wenzhi Zeng; Xun Zhang; Jiangfan Yang							Characterization of acidic tea polysaccharides from yellow leaves of wuyi rock tea and their hypoglycemic activity via intestinal flora regulation in rats.		Foods					A bioactive acidic tea polysaccharide from yellow leaves of Wuyi rock tea was successively prepared via DEAE-52 and Superdex-200 columns. Nuclear magnetic resonance (NMR) analysis showed that the main glycosidic bonds were composed of alpha-l-Araf-(1, 5)-alpha-l-Araf-(1, 4)-alpha-d-Glcp-(1, Arap-(1, 6)-alpha-d-Glcp-(1, 2,4)-alpha-l-Rhap-(1, 3,4)-alpha-d-Glcp-(1, 4)-alpha-d-GalAp-(1, 4)-alpha-d-GalAp-(1, alpha-d-Galp-(1, 6)-beta-d-Galp-(1 and 4)-beta-d-Galp-(1. The molecular weight was 3.9285 * 104 Da. The hypoglycemic effect of acidic tea polysaccharides on streptozotocin-induced type 2 diabetes mellitus rats was evaluated through histopathology and biochemistry analysis. The acidic tea polysaccharide could improve plasma and liver lipid metabolism. Moreover, 16S rRNA gene sequencing revealed that the composition of the intestinal flora changed drastically after treatment, namely, blooms of Bifidobacterium, Blautia, Dorea, and Oscillospira, and a strong reduction in Desulfovibrio and Lactobacillus. The above results illustrated that tea polysaccharides might serve as an effective ingredient to ameliorate glucose metabolism disorders and intestinal flora in hyperglycemic rats. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.										2022	11	4			2304-8158				10.3390/foods11040617					FSTA:2022-10-Hn9322
J		Zhong-Rui Du; Xiong Wang; Xu Cao; Xin Liu; Sai-Nan Zhou; Hui Zhang; Rui-Li Yang; Ka-Hing Wong; Qing-Juan Tang; Xiao-Li Dong							Alginate and its two components acted differently against dopaminergic neuronal loss in Parkinson's disease mice model.		Molecular Nutrition and Food Research					Scope. This study aims to investigate and compare the potentially neuroprotective effects and underlying mechanisms for brown seaweed polysaccharides (PS) of Alginate (Alg) and its two components, including polymannuronic acid (PM) and polyguluronic acid (PG), against Parkinson's disease (PD) pathogenesis. Methods and Results. Model mice of PD are pretreated with Alg or PM or PG, separately via oral gavage once per day for four weeks. Our results found PM improved motor functions of PD mice, but Alg or PG did not. PM or PG, but not Alg, can prevent dopaminergic neuronal loss by increasing tyrosine hydroxylase (TH) expressions in midbrain of PD mice. The neuroprotective effects of PM rely on its anti-inflammation effects and its ability to improve striatal neurotransmitters (serotonin (5-HT) and 5-hydroxyindole acetic acid (5-HIAA)) levels in PD mice. PM inhibits inflammation, but PG or Alg induces inflammation in systemic circulation of PD mice. The neuroprotection provided by PG might be related to its ability to increase striatal neurotransmitter of 5-hydroxyindole acetic acid levels in PD mice. Conclusion. PM plays better than PG to provide neuroprotection, but Alg did not show any neuroprotection against PD. Alg and its two components acted differently in preventing dopaminergic neuronal loss in PD mice. © 2021 Wiley-VCH GmbH.										2022	66	2			1613-4133				10.1002/mnfr.202100739					FSTA:2022-05-Aj7778
J		Zhong-Yi Li; Huan Liu; Hui Liu; Wei Huang; Yue Chu; Zhuo-Quan Huang; Chun-Hong Liu							Dietary exposure and risk assessment of phthalic acid esters through a total diet study in Shenzhen, South China.		Food Additives & Contaminants: Part A					Phthalic acid esters (PAEs) are typical endocrine disruptors which are ubiquitous contaminants. Human exposure to PAEs is through multiple routes of which the diet is recognised as the main source of daily intake. The aim of this study was to evaluate the dietary exposure to PAEs of residents in Shenzhen (China) through a total diet study and assess the potential health risk. A total of 16 different phthalate esters in samples of 12 composite food groups were determined by GC-MS. The main dietary sources of PAE exposure among adult residents in Shenzhen were potatoes (21%), eggs (21%), meat (15%) and aquatic products (14%). The median total dietary exposure to PAEs in Shenzhen residents was 7780ng kg-1 bw d-1, and the hazard quotients (HQ) of dimethyl phthalate (DMP), diethyl phthalate (DEP), di-isobutyl phthalate (DIBP), dibutyl phthalate (DBP) and di-2-ethylhexyl phthalate (DEHP) were 0.09, 0.06, 0.07, 0.10 and 0.03, respectively. Therefore, the risks from dietary PAE exposure were low. However, with the increasing use of PAEs and their accumulation in the environment, the probability of PAEs entering the food chain is gradually increasing and, therefore, PAEs should be strictly controlled and regularly monitored. © 2022 Taylor & Francis Group, LLC.										2022	39	9	1591	1603	1944-0049				10.1080/19440049.2022.2094474					FSTA:2022-12-Cf4193
J		Zhong-Yi Sun; Shuai Yu; Yu Tian; Bao-Quan Han; Yong Zhao; Ya-Qi Li; Yan Wang; Yu-Jiang Sun; Wei Shen							Chestnut polysaccharides restore impaired spermatogenesis by adjusting gut microbiota and the intestinal structure.		Food & Function					Our previous study confirmed the beneficial effects of chestnut polysaccharides (CPs) on the spermatogenesis process, but the exact mechanism is not clear. Several studies have demonstrated the importance of balanced gut microbiota in maintaining normal reproductive function. In this study, we investigated the biological functions of CPs from the perspective of gut microbiota function, expecting to find out the specific mechanism of CPs in restoring impaired spermatogenesis. Compared with the control group, the mice treated with busulfan showed a reduced number of germ cells, structural changes in the small intestine and composition alteration in the gut microbiota at several levels, including the phylum and genus. In contrast, the number of germ cells in seminiferous tubules was significantly increased, and the structure of the small intestine and the composition of the gut microbiota were altered in the busulfan-treated mice after the CPs treatment. The 16s rRNA analysis results showed that the Firmicutes was the predominant phylum in all groups followed by Proteobacteria, Bacteroidetes, Actinobacteria, Tenericutes, Cyanobacteria and unidentified bacteria. Interestingly, the subsequent functional analysis implied that the steroid hormone biosynthesis process is the major metabolic pathway in the CPs-mediated restoration process and the experimental results confirmed this speculation. In conclusion, this study confirmed that CPs can restore the impaired spermatogenesis process by adjusting the gut microbiota and intestinal structure, which will also provide technical support and a theoretical basis for the subsequent treatment of male infertility. © The Royal Society of Chemistry 2021.										2022	13	1	425	436	2042-650X				10.1039/d1fo03145g					FSTA:2022-04-Js5037
J		Zhong-yue Bian; Zong-cai Tu; Hui Wang; Yue-ming Hu; Guang-xian Liu							Investigation of the mechanism of 60Co gamma-ray irradiation-stimulated oxidation enhancing the antigenicity of ovalbumin by high-resolution mass spectrometry.		Journal of Agricultural and Food Chemistry					60Co gamma-ray irradiation-induced antigenicity changes in ovalbumin (OVA) were investigated, and the molecular mechanism was analyzed. Irradiation treatment at 0-100 kGy could significantly enhance the IgG/IgE binding ability of OVA in a dose-dependent paradigm by concomitant oxidative modification, which exhibited color browning and an increase in carbonyl content caused by high-penetrable rays. More allergenic epitopes of OVA were exposed after irradiation treatment reflected by structural changes including the unfolding of tertiary structure, the conversion of alpha-helix structures to beta-sheet and random coil structures, and the cleavage of several peptide bonds. Meanwhile, three oxidation sites of K46, T49, and N260 located in key linear epitopes were observed, which might increase the allergenic ability of OVA via the disaggregation of noncovalent bonds and the unwinding of alpha-helix structures. Conclusively, irradiation may enhance the potential allergenicity of OVA by oxidative modification, which provides theoretical guidance for effectively controlling the oxidation of proteins in the irradiation process.										2022	70	30	9477	9488	0021-8561				10.1021/acs.jafc.2c03911					FSTA:2022-12-Qa0687
J		Zhongcan Peng; Yuming Wang; Jun He; Jia Zhang; Xuege Pan; Xiansheng Ye; Weiku Zhang; Jiekun Xu							Chemical constituents and their antioxidant and anti-inflammatory activities from edible Cornus officinalis fruits.		European Food Research and Technology					Cornus officinalis fruits, an edible functional food with the tonic effect, belongs to the Cornaceae family. It is widely used in both traditional medicine and in some food production. A phytochemical study on the fruits of Cornus officinalis resulted in 20 structurally diverse compounds including 2 new lignans, named officinalignans A-B (1-2), and 2 new iridoids, named loganin-(4′-O-7)-alpha-morroniside (3) and 2′-O-p-coumaroyl-kingiside (4). These structures were identified by various spectroscopic techniques and chemical methods, including NMR, high-resolution electrospray ionization mass spectrometry (HR-ESI-MS), CD spectra and acid hydrolysis. The radical scavenging effects of all isolates were investigated. Compounds 1, 4, 15 and 18 showed significant inhibitory activities against 2,2-diphenyl-1-picrylhydrazyl (DPPH), whereas 7 and 17 displayed good 2,2′-azinobis (3-ethylbenzothiazoline-6-sulfonic acid) (ABTS) free radical-scavenging activities that was even more potent than that of trolox. In addition, all isolates were evaluated for their anti-inflammatory activities by detecting the nitric oxide (NO), tumor necrosis factor alpha (TNF-alpha) and interleukin-6 (IL-6) production by the lipopolysaccharides (LPS) in macrophages cell line RAW264.7, and compounds 3-4 and 6-7 exhibited the potent inhibition. The results disclosed that the lignans and iridoids from C. officinalis fruits can be regarded as a potential new source of antioxidants and inflammation inhibitors. Graphical abstract ©The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2021.										2022	248	4	1003	1010	1438-2377				10.1007/s00217-021-03940-6					FSTA:2022-06-Jd7827
