PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Benoit, N.; Dubois, M. J.; Pilon, G.; Varin, T. V.; Marette, A.; Bazinet, L.							Effects of herring milt hydrolysates and fractions in a diet-induced obesity model.		Foods					Over the past years, promising results from studies have shown that herring milt hydrolysates (HMH) can counter immune-metabolic disorders associated with obesity. However, more studies must corroborate these results. Thus, three commercial hydrolysates (HMH1, HMH2, and HMH3) as well as the fractions of two of them (HMH4 and HMH5) obtained by electrodialysis with ultrafiltration membranes (EDUF) were evaluated in vivo at higher doses compared to a previous study. To achieve this, seven groups of mice were fed for 8 weeks with either a control Chow diet or an obesogenic diet rich in fat and sucrose (HFHS) and supplemented by daily gavage with water or 312.5 mg/kg of one of the five HMH products. In summary, HMH supplements had no impact on weight gain. In the insulin tolerance test (ITT), HMH2 and its HMH5 fraction significantly reduced the blood sugar variation (p< 0.05). However, during the glucose tolerance (OGTT), HMH2 supplement increased the hyperinsulinemia variation (p< 0.05) induced by the HFHS diet. HMH1, HMH2, and HMH5 supplements generated potentially beneficial changes for health in the gut microbiota. These results reveal that HMH do not counteract obesity effects but may decrease certain physiological effects induced by obesity. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.		Bazinet, Laurent/B-1932-2015	Bazinet, Laurent/0000-0002-6818-3558							2021	10	9			2304-8158				10.3390/foods10092046					FSTA:2022-07-Rc2549
J		Benslima, A.; Sellimi, S.; Hamdi, M.; Nasri, R.; Jridi, M.; Cot, D.; Suming Li; Nasri, M.; Zouari, N.							The brown seaweed Cystoseira schiffneri as a source of sodium alginate: chemical and structural characterization, and antioxidant activities.		Food Bioscience					Sodium alginates were extracted from brown seaweeds (Cystoseira schiffneri) collected from a Tunisian island (Kerkennah, Sfax) in different seasons (December, April, July and September). The structural features and antioxidant properties of C. schiffneri sodium alginates (CSSA) were characterized. Micro-elementary analysis showed the absence of nitrogen and sulfur in alginate fractions. All alginate isolates were high in uronic acids (47.4-66.4%) and ash (24.3-39.4%). ATR-FTIR, NMR and circular dichroism data showed that all CSSA were of the polyguluronate-type. Weight-average molecular weight determined using high performance size exclusion chromatography showed variations ranging from 4.49 to 1230 kDa. Thermogravimetric analysis suggested that CSSA were stable until 400 °C except for that collected in September, which was observed to only be stable until 200 °C. Antioxidant activity of CSSA from different seasons was measured using DPPH radical-scavenging, reducing power and Fe2+ chelating ability assays. Antioxidant potential of CSSA varied significantly with respect to the season and the main factor controlling antioxidant properties was the molecular mass. All rights reserved, Elsevier.										2021	40				2212-4292				10.1016/j.fbio.2020.100873					FSTA:2021-08-Rg2718
J		Benslima, A.; Sellimi, S.; Hamdi, M.; Nasri, R.; Jridi, M.; Cot, D.; Li, S.; Nasri, M.; Zouari, N.							Brown seaweed Cystoseiraschiffneri as a promising source of sulfated fucans: seasonal variability of structural, chemical, and antioxidant properties.		Food Science & Nutrition					A fucoidan, sulfated polysaccharide, was extracted from the brown seaweed Cystoseira schiffneri during 4 harvest periods (December, April, July, and September) and studied for its structural and chemical properties. The Cystoseira schiffneri fucoidan (CSF) showed important variation in sulfate content ranging from 7.8% in December to 34.8% in July. This was confirmed by Fourier transform infrared and nuclear magnetic resonance spectroscopies showing characteristic signals of sulfated polysaccharides. Molecular mass of the CSF varied as a function of season from 3,745 in December to 26,390 Da in July. Gas chromatography-mass spectroscopy showed that CSF fractions were "mannogalactofucans" composed mainly of mannose, fucose, and galactose with low levels of other monosaccharides. Moreover, interesting in vitro antioxidant activities that depend on the harvest season were noted for CSF. Thus, the present work might contribute to establish criteria for extracting bioactive fucoidans from an endemic Tunisian seaweed C. schiffneri. © 2021 The Authors. Food Science & Nutrition published by Wiley Periodicals LLC.										2021	9	3	1551	1563	2048-7177				10.1002/fsn3.2130					FSTA:2021-11-Rg3889
J		Bento, J. A. C.; Ribeiro, P. R. V.; Silva, L. M. A. E.; Filho, E. G. A.; Bassinello, P. Z.; Brito, E. S. de; Caliari, M.; Junior, M. S. S.							Chemical profile of colorful bean (Phaseolus vulgaris L) flours: changes influenced by the cooking method.		Food Chemistry					This study aimed to determine how the cooking methods change the phenolics and saponins profiles, oligosaccharides, antinutrients and antioxidant properties of flours from colorful beans. The autoclave cooking consisted of: 6 h soaking and 5 min cooking (C5); and 20 min cooking without soaking (C20). Both cooking methods significantly promote changes on the chemical compounds studied, and the intensity of these variations were affected by the cultivars. Most of flours of C5 beans presented a lower loss of anthocyanins (3.9-70.0%), DPPH (11.7-87.2%), ABTS (0.0-82.7%), and tannins (0.0-90.0%) compared with C20. The cooked flours of Artico and Realce showed some similarities among chemical compounds, as well as the lowest concentration of tannins (0.0 mg.g-1), antioxidant activity (0.40 mol Trolox.g-1), and higher amounts of oligosaccharides and acetylcholine. Most of cooked flours presented a reduction in phenolics and soyasaponins alphag and betag, and an increase in soyasaponins Ba and I and oligosaccharides (mainly C20 flours). All rights reserved, Elsevier.		Bento, Juliana Aparecida Correia/W-2187-2019; Silva, Lorena Mara/G-1869-2016; Alves Filho, Elenilson/G-1865-2016; Ribeiro, Paulo/GYA-1014-2022; Junior, Manoel/HDN-4154-2022; Filho, Elenilson Godoy Alves/M-3587-2019; de Brito, Edy Sousa/I-3587-2012	Bento, Juliana Aparecida Correia/0000-0001-9015-9426; Silva, Lorena Mara/0000-0002-6290-8933; Alves Filho, Elenilson/0000-0003-1304-569X; Filho, Elenilson Godoy Alves/0000-0003-1304-569X; de Brito, Edy Sousa/0000-0003-4084-8076							2021	356				0308-8146				10.1016/j.foodchem.2021.129718					FSTA:2021-09-Jp11805
J		Bento, J. A. C.; Ferreira, K. C.; Bassinello, P. Z.; Oomah, B. D.							Factors affecting the cooking quality of stored carioca beans (Phaseolus vulgaris).		Italian Journal of Food Science					The culinary quality of carioca beans is related to their market value and consumer acceptability. The depreciation of the cooking/technological quality of the product occurs mainly because of the integument browning and the longer cooking time of the grains, which are influenced by the storage time and conditions. The loss of culinary quality reduces the market value of carioca beans because consumers reject darkened grains that are attributed to a longer cooking time. As a result, cooking time (resistance to cooking), the color of the integument, and the texture of the cooked beans are determinant factors in the acceptance of carioca bean cultivars. The browning of the grain integument and the cooking time mainly depends on the environmental conditions, storage time, the tegument of each genotype, and the chemical and physical properties of the cotyledons. Therefore, this review aims to survey the scientific literature on the extrinsic and intrinsic factors that affect the culinary quality of carioca beans.		Bento, Juliana Aparecida Correia/W-2187-2019	Bento, Juliana Aparecida Correia/0000-0001-9015-9426; Oomah, B. Dave/0000-0002-7035-3333							2021	33	4	43	56	1120-1770				10.15586/ijfs.v33i4.2025					FSTA:2023-01-Jp1468
J		Bento, J. A. C.; Bassinello, P. Z.; Carvalho, R. N.; Neto, M. A. de S.; Caliari, M.; Junior, M. S. S.							Functional and pasting properties of colorful bean (Phaseolus vulgaris L) flours: influence of the cooking method.		Journal of Food Processing and Preservation					This research aimed to verify how the preparation method affects the functional and technological properties of colorful bean flours to expand their potential for application in various food products. The flour of the cultivar BRS Embaixador (dark red kidney bean) presented the highest total starch content (40.5 g.100 g-1), and the lowest content of resistant starch (3.2 g.100 g-1) and protein (20.9 g.100 g-1), while Jalo Precoce (yellow bean) showed the highest amount of resistant starch (24.3 g.100 g-1) and protein (25.8 g.100 g-1). The cooked flours compared with the raw ones presented a reduction in water solubility index, peak viscosity, final viscosity, breakdown, seatback, hardness, adhesiveness, resilience, and emulsification capacity. These results were more evident in flours from presoaked and cooked beans once they had presented a significantly higher intensity of the starch pre-gelatinization. Finally, both preparation processes (presoaked cooked beans or unsoaked cooked beans) improved the technological characteristics of colorful bean flours. Practical applications. We have obtained the cooked colorful bean flours by applying an unusual method previously tested. The bean grains (previously soaked or not) were cooked only by the effect of the pressured steam environment of the autoclave without immersion in water during cooking. Our interest is to expand the use of colorful bean flour by improving its acceptability in various food systems. We show that the flour of presoaked cooked grains presented a higher amount of resistant starch and lower viscosities values, which may be suitable for a food system that desires no viscosity changes (e.g., soups). © 2021 Wiley Periodicals LLC.		Junior, Manoel/HDN-4154-2022; Bento, Juliana Aparecida Correia/W-2187-2019; Bassinello, Priscila/H-1605-2012; Alves de Souza Neto, Menandes/N-8711-2018	Bento, Juliana Aparecida Correia/0000-0001-9015-9426; Bassinello, Priscila/0000-0002-8545-9501; Alves de Souza Neto, Menandes/0000-0001-5560-6884; Caliari, Marcio/0000-0002-0877-8250							2021	45	11			1745-4549				10.1111/jfpp.15899					FSTA:2022-03-Jp2986
J		Bento, J. A. C.; Ribeiro, P. R. V.; Bassinello, P. Z.; Brito, E. S. de.; Zocollo, G. J.; Caliari, M.; Junior, M. S. S.							Phenolic and saponin profile in grains of carioca beans during storage.		LWT -- Food Science and Technology					The objective of this study was to evaluate the behavior of slow and fast-darkening carioca beans during storage, and the profile of phenolics and saponins, aiming to identify which compounds may be involved in the browning process of the integument of these grains. Cultivars Madreperola and Dama presented the lowest total color difference (DeltaE) and the highest luminosity (L*) values during storage time indicating to be slow-darkening cultivars. In contrast, the cultivars Notavel and Imperador rapidly darkened with storage time, evidenced by the highest DeltaE and lowest L*. Regarding the content of phenolic during storage, it was observed a reduction for free phenolics in fast-darkening beans and the maintenance/increase in slow-darkening beans. In the PCA of the phenolic profile, Notavel and Imperador were similar, differing from Dama and Madreperola, indicating that fast-darkening grains have similar phenolic profile. The OPLS/DA indicated that aged grains from bright beans had more kaempferol than darker beans. For saponins, the cultivars Imperador and Notavel presented higher content of Soyasaponin Bd, which might be related to the darkening process. Besides, kaempferol was found at higher concentrations in slow-darkening aged grains and can be a chemical marker of darkening in carioca beans. All rights reserved, Elsevier.		Ribeiro, Paulo/GYA-1014-2022; Junior, Manoel/HDN-4154-2022; Bento, Juliana Aparecida Correia/W-2187-2019; de Brito, Edy Sousa/I-3587-2012; Bassinello, Priscila/H-1605-2012	Bento, Juliana Aparecida Correia/0000-0001-9015-9426; de Brito, Edy Sousa/0000-0003-4084-8076; Bassinello, Priscila/0000-0002-8545-9501							2021	139				0023-6438				10.1016/j.lwt.2020.110599					FSTA:2021-05-Jp7031
J		Benucci, I.; Esti, M.							Arginase activity characterization during alcoholic fermentation by sequential inoculation with non-Saccharomyces and Saccharomyces yeast.		Food and Bioprocess Technology					Arginine uptake and yeast arginase activity were studied throughout the alcoholic fermentation of a white grape must (Vitis vinifera L. Cv Fiano), carried out by sequential inoculation (Torulaspora delbrueckii and S. cerevisiae, TD-SC) and compared with a S. cerevisiae single fermentation (SC). In both samples, yeast assimilable nitrogen (YAN) consumption was mainly during the early phase of alcoholic fermentation (before S. cerevisiae addition in the sequential fermentation). T. delbrueckii alone and S. cerevisiae similarly metabolized YAN, which was further consumed in TD-SC sample following the S. cerevisiae inoculation. The only relevant arginine uptake was found about 3 days after the first inoculum (simultaneously with the greatest YAN consumption) and it appeared to be higher in SC (0.24 g/L) than in TD-SC (0.12 g/L). The kinetic parameters, estimated by means of the Hill equation, and in particular Vmax values (56.01.6 U/mgBSAeq at 48 h for SC and 73.32.7 U/mgBSAeq at 66 h for TD-SC) indicated the maximum arginase activity at the same point of time corresponding to the lowest YAN amount (48 h for S. cerevisiae and 66 h for T. delbrueckii). ©The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2021.			Benucci, Ilaria/0000-0001-7114-8641							2021	14	11	1996	2003	1935-5149				10.1007/s11947-021-02701-3					FSTA:2022-03-Hj2154
J		Benucci, I.; Cecchi, T.; Lombardelli, C.; Maresca, D.; Mauriello, G.; Esti, M.							Novel microencapsulated yeast for the primary fermentation of green beer: kinetic behavior, volatiles and sensory profile.		Food Chemistry					The development of innovative and more cost-effective approaches of making beer throughout continuous fermentation process remains a challenging problem, which is worthy of serious exploration. The current work focuses on the application of a commercial brewing yeast (S. cerevisiae Nottingham Ale), entrapped into chitosan-calcium alginate double layer microcapsules, for the production of a Pale Ale beer. During the primary alcoholic fermentation, the consumption rate of fermentable brewing sugars and dissolved O2, estimated by the Gompertz equation, was halved in the beer obtained by encapsulated yeast in comparison with the free cell. The physical-chemical parameters of beer (i.e.pH, alcohol content, color and bitterness) were not remarkably affected by the different yeast-inoculating form. However, the volatile profiles identified by means of HS-SPME-GC-MS analysis, significantly differed in terms of terpenes, esters and alcohols content, thus proving that the yeast-inoculating form may typify the odor and flavor descriptors of the green beer. All rights reserved, Elsevier.		Cecchi, Teresa/AAA-9423-2020	Cecchi, Teresa/0000-0003-1940-864X; Lombardelli, Claudio/0000-0003-4325-6658; Esti, Marco/0000-0001-7316-205X; Benucci, Ilaria/0000-0001-7114-8641							2021	340				0308-8146				10.1016/j.foodchem.2020.127900					FSTA:2021-03-Hc3306
J		Benvenutti, L.; Zielinski, A. A. F.; Ferreira, S. R. S.							Jaboticaba (Myrtaceae cauliflora) fruit and its by-products: alternative sources for new foods and functional components.		Trends in Food Science & Technology					Background. There is a high demand for food and pharmaceutical products enriched with natural compounds to replace synthetic additives, contributing to human health and the immune system. The jaboticaba (family Myrtaceae) is a Brazilian berry, little known and scarcely used, but with high biological potential, such as antioxidant, antimicrobial, anti-inflammatory, antidiabetic, anti-obesity, cardioprotective, and antiproliferative. Its industrial by-product is composted by peel, seeds, and adhered pulp, with the same phytochemicals from fruit. Therefore, jaboticaba and its by-products are sources of compounds with health benefits and technological functions, being an emerging fruit with high potential applications in food, supplements, and pharmacological formulations. Scope and approach. This overview summarizes the characteristics of jaboticaba, phytochemicals, health benefits, technological functions, methods to obtain and protect the biological compounds, and application trends of jaboticaba fruit and by-product. Key findings and conclusions. The jaboticaba fruit and its by-products can be used to supplement or create novel products with health and technological benefits, by applying concepts such as circular economy and biorefinery. The jaboticaba processing takes the advantage of this raw material for the development of innovative and healthier products. Furthermore, the use of jaboticaba by-products can promote more efficient utilization of natural resources. However, the combination of specifics in vitro, in vivo, and clinical trial assays must be performed to confirm the benefits to human health or attest these food ingredients as functional or nutraceutical. All rights reserved, Elsevier.		Ferreira, Sandra/I-6426-2013; Ferreira, Sandra R S/EBM-2926-2022; Zielinski, Acacio AF/L-5868-2016	Ferreira, Sandra/0000-0003-3393-0995; Ferreira, Sandra R S/0000-0003-3393-0995; Zielinski, Acacio AF/0000-0002-6184-9628; Benvenutti, Lais/0000-0003-4605-3119							2021	112		118	136	0924-2244				10.1016/j.tifs.2021.03.044					FSTA:2021-09-Jg12081
